Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
*0001;19456;ADALTO SUKITA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;1.190;6,06 %
*0002;20555;TONINHO ARIMATEA;PSC - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;836;4,26 %
*0003;40400;ALEXSANDRO NASCIMENTO;PSB - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;787;4,01 %
*0004;22222;LOPES;PR - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;742;3,78 %
*0005;20444;ZEZINHO DE DOUTOR GERALDO;PSC - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;705;3,59 %
*0006;22000;PROFESSORA AUREA;PR - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;663;3,38 %
*0007;12345;ARILDO DO LAPRAÇA;PDT - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;623;3,17 %
*0008;23456;RONY;PPS - PT / PMDB / PTN / PPS / PRP / PC do B;597;3,04 %
*0009;13333;TONY DO PT;PT - PT / PMDB / PTN / PPS / PRP / PC do B;563;2,87 %
*0010;14444;JOYCE ROCHA;PTB - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;558;2,84 %
*0011;19999;TIA SILVANA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;548;2,79 %
*0012;19200;IRMÃO ISAAC;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;521;2,65 %
*0013;44444;IOLANDO FILHO DO PROF LUIS;PRP - PT / PMDB / PTN / PPS / PRP / PC do B;458;2,33 %
0014;90000;JOÃO PAULO;PROS - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;512;2,61 %
0015;20333;ROMILDO NASCIMENTO;PSC - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;480;2,45 %
0016;12000;PROFESSORA DENILSA;PDT - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;476;2,42 %
0017;40999;BEBE ÁGUA;PSB - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;473;2,41 %
0018;55555;NINHO DA RENOVEL;PSD - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;457;2,33 %
0019;19222;ZEFINHA DE JIDELSON;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;441;2,25 %
0020;22333;IRAN DA MERCEARIA;PR - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;424;2,16 %
0021;22111;RONALDO;PR - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;374;1,91 %
0022;40000;PROF. CARLOS AUGUSTO;PSB - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;373;1,90 %
0023;13111;RICARDO DO MST;PT - PT / PMDB / PTN / PPS / PRP / PC do B;364;1,85 %
0024;19000;JÚNIOR PIMPÃO;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;314;1,60 %
0025;19333;LUCIANO MATOS;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;292;1,49 %
0026;19123;MILTON PEDREIRINHO;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;280;1,43 %
0027;19111;CARLINHOS DE REGIS;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;260;1,32 %
0028;65666;MÁRCIO DE CORREIA;PC do B - PT / PMDB / PTN / PPS / PRP / PC do B;259;1,32 %
0029;23000;AILTON DO COURO;PPS - PT / PMDB / PTN / PPS / PRP / PC do B;257;1,31 %
0030;20000;ADEYLSON FILHO DE AMINTÃO;PSC - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;245;1,25 %
0031;19444;COSME ROCHA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;242;1,23 %
0032;19700;NINHO DO TAMANDUÁ;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;225;1,15 %
0033;23200;NINITO TEIMOZÃO;PPS - PT / PMDB / PTN / PPS / PRP / PC do B;218;1,11 %
0034;19619;ZEZINHO DAS BARRACAS;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;188;0,96 %
0035;19044;RODRIGO MELO;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;163;0,83 %
0036;22355;PEDRO OLIVEIRA;PR - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;111;0,57 %
0037;15015;JÚNIOR DO JORNAL;PMDB - PT / PMDB / PTN / PPS / PRP / PC do B;102;0,52 %
0038;17789;NENCA DO PINHEIRO;PSL - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;87;0,44 %
0039;12222;JOTA PROFESSOR;PDT - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;84;0,43 %
0040;19555;TELMA DE NINHA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;75;0,38 %
0041;22123;GUGU DA QUADRILHA;PR - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;72;0,37 %
0042;19100;JORDANA AMORIM;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;48;0,24 %
0043;19019;CLÁUDIA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;39;0,20 %
0044;19400;DONA ROSA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;30;0,15 %
0045;12333;INGRID AGENTE;PDT - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;25;0,13 %
0046;23333;MEIRE DO BAR;PPS - PT / PMDB / PTN / PPS / PRP / PC do B;23;0,12 %
0047;19789;VOVÓ GILZA;PTN - PT / PMDB / PTN / PPS / PRP / PC do B;23;0,12 %
0048;12900;DIJAN MOURA;PDT - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;17;0,09 %
0049;33123;ANGELA DA FARMÁCIA;PMN - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;7;0,04 %
0050;33333;DORINHA DO TAMANDUÁ;PMN - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;3;0,02 %
0051;33444;VERÔNICA DE RICARDO;PMN - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;2;0,01 %
0052;14123;JOYCE CARLA;PTB - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;0;0,00 %
0053;10123;SARALVO OLIVEIRA;PRB - PRB / DEM / PEN / PPL;339;1,73 %
0054;51111;EGLINE MACHADO;PEN - PRB / DEM / PEN / PPL;244;1,24 %
0055;10222;IRMÃO FRANCISCO CABELEIREIRO;PRB - PRB / DEM / PEN / PPL;97;0,49 %
